,Mes,Item_Commodity,CantidadPedida,CantidadRecibida,PrecioUnitario,Total
0,2018-05,6240,15.0,15.0,91.53,1372.9499999999998
1,2018-05,6307,50.0,0.0,2.23906,111.95
2,2018-05,6310,90.0,0.0,4.7756015000000005,429.8
3,2018-05,6314,680.0,200.0,9.7458,6627.150000000001
4,2018-05,6316,512.0,96.0,5.772889,2955.7200000000003
5,2018-05,6322,878.0,266.0,53.279607733333336,46675.37
6,2018-05,6325,514.0,178.0,13.204865166666666,6765.93
7,2018-05,6336,32.0,0.0,82.5516,2641.64
8,2018-05,6338,20.0,5.0,82.5516,1651.04
9,2018-05,6344,144.0,42.0,4.8583315,699.5999999999999
10,2018-05,6345,25.0,4.0,29.149999999999995,728.75
11,2018-05,6348,240.0,0.0,1.574553,377.88
12,2018-05,6349,400.0,0.0,0.48,192.0
13,2018-05,6352,580.0,180.0,0.6892857142857143,404.5
14,2018-05,6354,700.0,0.0,1.840169,1288.12
15,2018-05,6356,400.0,0.0,0.152542,61.0
16,2018-05,6358,560.0,60.0,1.14705,642.36
17,2018-05,6359,88.0,0.0,13.26,1226.4
18,2018-05,6361,51.0,34.0,14.93142857142857,791.88
19,2018-05,6362,600.0,200.0,0.69453,416.70000000000005
20,2018-05,6363,32.0,20.0,14.2272,465.12
21,2018-05,6365,47.0,10.0,16.275,764.9599999999999
22,2018-05,6366,8.0,2.0,109.6248,877.0
23,2018-05,6367,20.0,5.0,14.022,280.44
24,2018-05,6378,26.0,8.0,12.267299999999999,318.27
25,2018-05,6380,127.0,13.0,12.190155454545454,1548.1299999999999
26,2018-05,6382,1900.0,400.0,0.896861,1685.87
27,2018-05,6383,49.0,4.0,17.54896,859.88
28,2018-05,6385,80.0,10.0,9.6812082,774.48
29,2018-05,6386,2400.0,0.0,0.06355025,152.53
30,2018-05,6387,192.0,48.0,11.706166666666666,2235.3
31,2018-05,6388,382.0,76.0,11.408928571428572,4282.32
32,2018-05,6398,6.0,6.0,26.4087,158.45
33,2018-05,6399,120.0,60.0,13.02283,1562.74
34,2018-05,6401,300.0,0.0,2.0352,610.5600000000001
35,2018-05,6404,80.0,0.0,0.725981,58.08
36,2018-05,6408,700.0,0.0,0.11694900000000001,81.84
37,2018-05,6409,50.0,0.0,1.6499999999999997,82.5
38,2018-05,6414,1240.0,140.0,1.19152,1409.45
39,2018-05,6415,300.0,0.0,0.9001,270.03000000000003
40,2018-05,6423,930.0,90.0,3.9344977777777776,3659.11
41,2018-05,6429,54.0,0.0,13.21,713.34
42,2018-05,6431,530.0,210.0,8.351048,4388.9
43,2018-05,6432,40.0,0.0,3.12272,124.9
44,2018-05,6433,118.0,66.0,6.811305,810.35
45,2018-05,6434,10.0,10.0,2.972,29.72
46,2018-05,6435,54.0,2.0,35.08802857142857,2077.08
47,2018-05,6436,170.0,10.0,3.0745966250000003,522.69
48,2018-05,6437,15.0,3.0,27.323784,402.16999999999996
49,2018-05,6439,21.0,10.0,42.7142152,896.99
50,2018-05,6440,20.0,20.0,6.446,128.92
51,2018-05,6448,12.0,2.0,34.0057,391.28
52,2018-05,6452,12.0,3.0,31.711000000000002,380.52
53,2018-05,6456,12.0,0.0,47.63395,571.62
54,2018-05,6458,35.0,10.0,6.846845999999999,237.22
55,2018-05,6460,165.0,30.0,3.2267224,532.4
56,2018-05,6464,28.0,0.0,6.87486,192.5
57,2018-05,6467,180.0,0.0,2.7498082,494.96
58,2018-05,6468,475.0,0.0,2.45665,1166.93
59,2018-05,6471,110.0,12.0,21.16229771428571,2322.88
60,2018-05,6472,36.0,10.0,15.490934000000001,471.46000000000004
61,2018-05,6473,15.0,0.0,18.889728,283.35
62,2018-05,6475,3360.0,900.0,0.05084525,170.85
63,2018-05,6476,300.0,0.0,1.348479,404.54999999999995
64,2018-05,6479,300.0,0.0,2.791712,837.51
65,2018-05,6482,600.0,0.0,0.4108286666666667,246.48
66,2018-05,6483,1300.0,0.0,0.7688457142857142,1010.76
67,2018-05,6484,300.0,40.0,7.0024579000000005,2100.7400000000002
68,2018-05,6485,10200.0,2220.0,1.0239133125,10568.24
69,2018-05,6486,68.0,0.0,10.17456,691.88
70,2018-05,6487,60.0,0.0,0.286528,17.19
71,2018-05,6488,33.0,0.0,19.314,655.6700000000001
72,2018-05,6491,32.0,0.0,15.81,505.92
73,2018-05,6492,554.0,74.0,7.987748571428571,4340.12
74,2018-05,6494,400.0,50.0,1.0302,412.08
75,2018-05,6496,140.0,0.0,3.9367346666666667,545.44
76,2018-05,6498,20.0,0.0,2.6611,53.22
77,2018-05,6499,12.0,0.0,2.483,29.8
78,2018-05,6510,12.0,12.0,26.27,315.24
79,2018-05,6511,300.0,100.0,0.5178,155.34
80,2018-05,6512,4900.0,1000.0,1.7120033333333333,8388.82
81,2018-05,6514,500.0,0.0,1.65375,826.9
82,2018-05,6516,510.0,90.0,0.9322025714285714,475.42
83,2018-05,6521,12.0,2.0,70.563875,843.48
84,2018-05,6522,34.0,8.0,70.563875,2400.8399999999997
85,2018-05,6526,12.0,2.0,58.2072,698.48
86,2018-05,6529,190.0,31.0,6.633675,1260.43
87,2018-05,6531,1640.0,240.0,1.8999831818181818,3116.0
88,2018-05,6533,1784.0,352.0,5.8740812,7131.83
89,2018-05,6535,24.0,0.0,24.31,583.4399999999999
90,2018-05,6536,1072.0,168.0,3.7998026666666664,4073.38
91,2018-05,6539,33.0,0.0,17.768800000000002,583.5
92,2018-05,6541,192.0,72.0,12.908779454545455,2498.95
93,2018-05,6542,685.0,80.0,0.9979008181818183,664.37
94,2018-05,6544,7.0,2.0,266.3274085714286,1864.3
95,2018-05,6545,167.0,37.0,21.764683333333334,3576.67
96,2018-05,6547,21.0,4.0,24.30468,513.78
97,2018-05,6548,2400.0,500.0,19.48876358823529,65114.020000000004
98,2018-05,6551,1620.0,400.0,1.7998246153846154,2915.75
99,2018-05,6552,138.0,12.0,7.53433,1003.3199999999999
100,2018-05,6553,720.0,0.0,1.558807,1122.36
101,2018-05,6556,120.0,10.0,8.38438,1006.1299999999999
102,2018-05,6560,80.0,0.0,4.515814,361.28
103,2018-05,6561,4.0,1.0,50.47176225,201.89
104,2018-05,6562,1150.0,500.0,0.7007113333333334,805.84
