Item;Descripcion;Und;Nro_Parte;Linea;Familia;SubFam;Codigo_Interno;Tipo;Item_Relacionado;Procedencia;Dimensiones;Estado;Cta_Inventario;Cta_Gasto;Codigo_CUM;Codigo_Kairos;Codigo_DIGEMID;Ult_Usuario;Ult_Modif;SubFamInf
0000006240;STAMARIL;AMP;;02;0260;0001;23761;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;O;KREYES;04-08-2023 10:11;
0000006303;DONAFAN F;TAB;;02;0055;0003;11;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;21826;ROYAL;24-07-2018 09:09;
0000006304;FRAMYCORT GOTAS;FCO;;02;0389;0007;19;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;5111;ROYAL;27-04-2018 16:41;
0000006305;HISTAL  TAB;TAB;;02;0074;0001;27;MEDICAMENTOS;;LOCAL;;Inactivo;20111001;91111101;;;;GPERALTA;27-06-2019 08:36;
0000006306;BLADURIL  TAB;TAB;;02;0060;0001;38;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;1621;ROYAL;27-04-2018 16:41;
0000006307;HANALGEZE 10 MG TAB;TAB;;02;0335;0034;40;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;5574;ROYAL;27-04-2018 16:41;
0000006308;HANALGEZE 30 MG AMP;AMP;;02;0335;0036;41;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;5575;ROYAL;27-04-2018 16:41;
0000006309;HANALGEZE 60 MG AMP;AMP;;02;0335;0033;42;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;5576;ROYAL;27-04-2018 16:41;
0000006310;CIPROLIN 500MG. TAB;TAB;;02;0360;0067;44;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;21141;ROYAL;27-04-2018 16:41;
0000006311;ZINASEN 10 MG.;TAB;;02;0125;0007;58;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;11791;ROYAL;27-04-2018 16:41;
0000006312;OGASTRO 30 MG;CAP;;02;0122;0003;65;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;8490;ROYAL;27-04-2018 16:41;
0000006313;KLARICID 125 MG SUSP.;FCO;;02;0360;0068;67;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;6426;ROYAL;27-04-2018 16:41;
0000006314;PROPOFOL 1% x 20 ML AMP (CAPLIN);AMP;;02;0341;0003;68;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;32259;EMORALES;12-10-2023 09:28;
0000006315;ENSURE ADVANCE 400 G;LAT;;02;0250;0004;82;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;;ROYAL;27-04-2018 16:41;
0000006316;PEDIASURE 237 ML;FCO;;02;0250;0003;88;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;;ROYAL;27-04-2018 16:41;
0000006317;SELSUM AMARILLO;FCO;;02;0047;0003;91;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;9896;ROYAL;27-04-2018 16:41;
0000006318;KLARICID 250 MG.JARABE;FCO;;02;0360;0069;93;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;33174;ROYAL;27-04-2018 16:41;
0000006319;KLARICID 500 MG;TAB;;02;0360;0071;95;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;29351;ROYAL;27-04-2018 16:41;
0000006320;GLUCERNA X 237 ML;LAT;;02;0250;0002;96;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;DE000130001;;;ROYAL;27-04-2018 16:41;
0000006321;SEVORANE X 250 ML.;CCU;;02;0341;0005;97;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;9966;ROYAL;27-04-2018 16:41;
0000006322;OSMOLITE HN 1 LT.;FCO;;02;0250;0003;100;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;;CSHIMABUKU;14-05-2021 10:36;
0000006323;SURVANTA AMP;AMP;;02;0251;0001;103;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10453;ROYAL;27-04-2018 16:41;
0000006324;VALCOTE 500 MG;TAB;;02;0051;0008;107;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10453;ROYAL;27-04-2018 16:41;
0000006325;NEPRO ORAL SUSP. LATA x 237 ML (ABBOTT);LAT;;02;0250;0006;108;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;DE000410001;;;CSHIMABUKU;17-03-2021 15:36;
0000006326;ALITRAQ SABOR A VAINILLA;SOB;;02;0250;0001;110;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;R;CSHIMABUKU;14-05-2021 11:35;
0000006327;PULMOCARE 8 OZ;LAT;;02;0250;0002;111;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;DE00057001;;;ROYAL;27-04-2018 16:41;
0000006328;BLOPRESS 8 MG;TAB;;02;0068;0018;112;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20744;ROYAL;27-04-2018 16:41;
0000006329;BLOPRESS 16 MG;TAB;;02;0068;0016;113;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20743;ROYAL;27-04-2018 16:41;
0000006330;FRESH TEARS;FCO;;02;0253;0004;118;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20743;ROYAL;27-04-2018 16:41;
0000006331;PRED. FORTE;FCO;;02;0402;0001;120;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20743;ROYAL;27-04-2018 16:41;
0000006332;ALCAINE;FCO;;02;0014;0003;138;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20743;ROYAL;27-04-2018 16:41;
0000006333;MYDRIACYL GOTAS;FCO;;02;0229;0002;139;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7763;ROYAL;27-04-2018 16:41;
0000006334;TOBREX GOTAS;FCO;;02;0389;0016;147;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10795;ROYAL;27-04-2018 16:41;
0000006335;ALCAINE C.C.;CCU;;02;0014;0002;148;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20743;GPERALTA;04-11-2019 17:35;
0000006336;TOBRADEX;FCO;;02;0366;0005;149;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;28227;ROYAL;27-04-2018 16:41;
0000006337;MYDRIACYL 1 %;CCU;;02;0229;0001;150;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7763;ROYAL;27-04-2018 16:41;
0000006338;TOBRADEX UNGTO X 3.5;TUB;;02;0224;0010;151;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;28228;ROYAL;27-04-2018 16:41;
0000006339;MIOSTAT;AMP;;02;0062;0003;156;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;28228;ROYAL;27-04-2018 16:41;
0000006340;DOLO QUIMAGESICO;CAP;;02;0335;0017;160;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3875;ROYAL;27-04-2018 16:41;
0000006341;FERANIN FOL;TAB;;02;0028;0018;164;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;4797;ROYAL;27-04-2018 16:41;
0000006342;FERANIN GOTAS 25 MG;FCO;;02;0028;0012;165;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;4795;ROYAL;27-04-2018 16:41;
0000006343;FERANIN JBE;FCO;;02;0028;0011;167;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;4798;ROYAL;27-04-2018 16:41;
0000006344;COLUFASE;TAB;;02;0099;0003;172;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;27240;ROYAL;27-04-2018 16:41;
0000006345;COLUFASE SUSP.;FCO;;02;0099;0002;173;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;28673;ROYAL;27-04-2018 16:41;
0000006346;SALOFALK 500 MG;SUP;;02;0400;0003;177;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;28673;ROYAL;27-04-2018 16:41;
0000006347;URSOFALK 250 MG;CAP;;02;0138;0001;179;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;11141;ROYAL;27-04-2018 16:41;
0000006348;DAFLON 500 MG;TAB;;02;0123;0002;180;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3260;ROYAL;27-04-2018 16:41;
0000006349;ASPIRINA 500 MG;TAB;;02;0335;0001;184;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;26243;ROYAL;27-04-2018 16:41;
0000006350;CANESTEN TOPICO CREMA;TUB;;02;0077;0010;186;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;28810;ROYAL;27-04-2018 16:41;
0000006351;ADALAT OROS 30 MG;TAB;;02;0073;0003;188;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;185;ROYAL;27-04-2018 16:41;
0000006352;CARDIOASPIRINA 100 MG;TAB;;02;0026;0001;197;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;2074;ROYAL;27-04-2018 16:41;
0000006353;ADALAT OROS 20 MG;TAB;;02;0073;0002;199;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;183;ROYAL;27-04-2018 16:41;
0000006354;ADALAT 10 MG SUBLINGUAL;CAP;;02;0073;0001;202;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;31143;ROYAL;27-04-2018 16:41;
0000006355;AMOXICILI.JBE 250 MG X 45 ML;FCO;;02;0360;0007;227;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;655;ROYAL;27-04-2018 16:41;
0000006356;ATENOLOL 100 MG IQFARMA;TAB;;02;0068;0009;229;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;39738;GPERALTA;29-10-2019 16:58;
0000006357;BEROTEC SOL X 20 CC;FCO;;02;0035;0009;235;MEDICAMENTOS;;LOCAL;;Inactivo;20111001;91111101;;;;GPERALTA;27-06-2019 08:36;
0000006358;BUSCAPINA GRAGEA;TAB;;02;0059;0006;237;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20841;MYANTAS;17-05-2019 08:57;
0000006359;BUSCAPINA AMP;AMP;;02;0059;0007;239;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;1852;ROYAL;27-04-2018 16:41;
0000006360;EFFORTIL AMP;AMP;;02;0180;0001;243;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;4194;ROYAL;27-04-2018 16:41;
0000006361;BUSCAPINA COMP. AMP.;AMP;;02;0059;0008;252;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;40945;CSHIMABUKU;14-05-2021 10:36;
0000006362;BUSCAPINA COMP. TAB;TAB;;02;0059;0012;253;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20840;ROYAL;27-04-2018 16:41;
0000006363;MUCOSOLV.JBE PED. 15 MG;FCO;;02;0208;0010;254;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;23582;ROYAL;27-04-2018 16:41;
0000006364;BEROTEC C.C.;CCU;;02;0035;0008;263;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20673;ROYAL;27-04-2018 16:41;
0000006365;MUCOSOLV.COMP.ADULTO  JBE.;FCO;;02;0209;0001;266;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;27641;MYANTAS;02-08-2019 08:48;
0000006366;ATROVENT AEROSOL 10 ML;FCO;;02;0035;0004;270;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;1095;ROYAL;27-04-2018 16:41;
0000006367;MUCOSOLV.30 MG JBE;FCO;;02;0208;0011;272;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7675;ROYAL;27-04-2018 16:41;
0000006368;DILATREND 6.25;TAB;;02;0068;0024;277;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3703;ROYAL;27-04-2018 16:41;
0000006369;AMIKIN 500 mg.x 1 amp.;AMP;;02;0360;0004;278;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;581;ROYAL;27-04-2018 16:41;
0000006370;AMIKIN 250 mg.x 1amp.;AMP;;02;0360;0003;279;MEDICAMENTOS;;LOCAL;;Inactivo;20111001;91111101;;;;GPERALTA;27-06-2019 08:36;
0000006371;AMIKIN 100 mg.x 1 amp.;AMP;;02;0360;0001;280;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;579;ROYAL;27-04-2018 16:41;
0000006372;DIOVAN 80 MG;TAB;;02;0068;0065;326;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3737;ROYAL;27-04-2018 16:41;
0000006373;DIOVAN HCT 80/12.5 MG;CAP;;02;0071;0011;327;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3742;ROYAL;27-04-2018 16:41;
0000006374;FENOBARBITAL 200MG/2ML (PHARMAGEN);AMP;;02;0051;0013;333;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;4783;MMELGAR;19-12-2019 09:19;
