PERIODO;FECHA_REGISTRO;CODIGO;COMPONENTE;KAYROS
202404;2024-04-05 15:48:54;0000013582;VABYSMO 120 MG;9210.69
202404;2024-04-05 15:48:43;0000013582;VABYSMO 120 MG;9210.69
202404;2024-04-03 12:13:21;0000013559;CRISTALTEARS 10 ML POEN;118.94
202404;2024-04-03 12:12:38;0000013559;CRISTALTEARS 10 ML POEN;118.94
202404;2024-04-02 11:08:31;0000007395;CREON  25 000 x300mg capsula;6.01
202404;2024-04-02 11:07:53;0000007395;CREON  25 000 x300mg capsula;6.01
202404;2024-04-02 11:07:47;0000007395;CREON  25 000 x300mg capsula;6.01
202404;2024-04-02 11:03:57;0000007395;CREON  25 000 x300mg capsula;300.45
202403;2024-03-19 14:22:03;0000007741;SULFADIAZINA  400 G;137.50
202403;2024-03-19 14:20:18;0000007741;SULFADIAZINA  400 G;96.27
202403;2024-03-18 16:07:41;0000013458;VENTILAIR 10 MG TAB (LABOFAR);11.46
202403;2024-03-18 16:07:30;0000013458;VENTILAIR 10 MG TAB (LABOFAR);11.46
202403;2024-03-18 16:06:46;0000013458;VENTILAIR 10 MG TAB (LABOFAR);8.19
202403;2024-03-18 16:06:07;0000013458;VENTILAIR 10 MG TAB (LABOFAR);8.19
202403;2024-03-18 16:03:13;0000013458;VENTILAIR 10 MG TAB (LABOFAR);2.72
202403;2024-03-15 18:23:52;0000013561;HIDROXIDO DE ALUMINIO+HIDROXIDO DE MAGNESIO 400MG+400MG/5ML;11.50
202403;2024-03-15 18:23:26;0000013561;HIDROXIDO DE ALUMINIO+HIDROXIDO DE MAGNESIO 400MG+400MG/5ML;10.50
202403;2024-03-15 18:23:17;0000013561;HIDROXIDO DE ALUMINIO+HIDROXIDO DE MAGNESIO 400MG+400MG/5ML;11.50
202403;2024-03-13 17:15:05;0000013558;TELMIPRES 40 MG TELMISARTAN;10.50
202403;2024-03-13 17:14:43;0000013558;TELMIPRES 40 MG TELMISARTAN;9.50
202402;2024-02-27 15:48:03;0000013549;LIPOVIT FQ (PREPARADO MAGISTRAL);86.95
202402;2024-02-27 15:46:39;0000013549;LIPOVIT FQ (PREPARADO MAGISTRAL);102.60
202402;2024-02-27 13:16:55;0000007395;CREON  25 000 x300mg capsula;300.45
202402;2024-02-27 13:16:47;0000007395;CREON  25 000 x300mg capsula;300.45
202402;2024-02-27 13:16:17;0000007395;CREON  25 000 x300mg capsula;300.45
202402;2024-02-27 13:15:57;0000007395;CREON  25 000 x300mg capsula;300.45
202402;2024-02-26 12:12:53;0000006414;ACICLOVIR 800 MG FARMIN.;14.11
202402;2024-02-26 12:12:24;0000006414;ACICLOVIR 800 MG FARMIN.;14.11
202402;2024-02-26 11:17:31;0000007395;CREON  25 000 x300mg capsula;247.43
202402;2024-02-26 11:16:39;0000007395;CREON  25 000 x300mg capsula;247.43
202402;2024-02-26 10:42:47;0000013548;BARIO DIF RECTAL 94%;252.00
202402;2024-02-22 16:45:31;0000013062;FERROPEN 50MG/5ML JBE X 100 ML (GENCOPHARMAC);99.96
202402;2024-02-22 16:44:16;0000013062;FERROPEN 50MG/5ML JBE X 100 ML (GENCOPHARMAC);99.96
202402;2024-02-22 16:44:01;0000013062;FERROPEN 50MG/5ML JBE X 100 ML (GENCOPHARMAC);99.96
202402;2024-02-21 14:57:29;0000013518;PULMOZYME 2.5MG/2.5ML AMP (ROCHE);241.68
202402;2024-02-21 14:47:29;0000013518;PULMOZYME 2.5MG/2.5ML AMP (ROCHE);199.00
202402;2024-02-21 11:08:02;0000013524;TOPIRAMATO 50 MG TAB (TOPAZ 50);15.34
202402;2024-02-21 11:07:33;0000013524;TOPIRAMATO 50 MG TAB (TOPAZ 50);15.34
202402;2024-02-21 11:05:06;0000013524;TOPIRAMATO 50 MG TAB (TOPAZ 50);460.32
202402;2024-02-21 11:04:47;0000013524;TOPIRAMATO 50 MG TAB (TOPAZ 50);460.32
